URL,Name,V3
http://www.kibutu.com/kibutu.php?university=kanazawa_bijutu_kougei,金沢美術工芸大学,0
http://www.kibutu.com/kibutu.php?university=kanazawa_ika,金沢医科大学,0
http://www.kibutu.com/kibutu.php?university=kanazawa_gakuinn,金沢学院大学,35
http://www.kibutu.com/kibutu.php?university=kanazawa_kougyou,金沢工業大学,1
http://www.kibutu.com/kibutu.php?university=kanazawa_seijou,金沢星稜大学,0
http://www.kibutu.com/kibutu.php?university=kinnjou,金城大学,0
http://www.kibutu.com/kibutu.php?university=hokuryou,北陸大学,10
http://www.kibutu.com/kibutu.php?university=hukui,福井大学,1
http://www.kibutu.com/kibutu.php?university=hukui_kennritu,福井県立大学,8
http://www.kibutu.com/kibutu.php?university=zinnai,仁愛大学,0
http://www.kibutu.com/kibutu.php?university=hukui_kougyou,福井工業大学,1
http://www.kibutu.com/kibutu.php?university=otyanomizu_josi,お茶の水女子大学,2
http://www.kibutu.com/kibutu.php?university=dennki_tuusinn,電気通信大学,14
http://www.kibutu.com/kibutu.php?university=toukyou,東京大学,84
http://www.kibutu.com/kibutu.php?university=toukyou_ika_sika,東京医科歯科大学,0
http://www.kibutu.com/kibutu.php?university=toukyou_gaikokugo,東京外国語大学,0
http://www.kibutu.com/kibutu.php?university=toukyou_kaiyou,東京海洋大学,385
http://www.kibutu.com/kibutu.php?university=toukyou_gakugei,東京学芸大学,354
http://www.kibutu.com/kibutu.php?university=toukyou_geijutu,東京芸術大学,0
http://www.kibutu.com/kibutu.php?university=toukyou_kougyou,東京工業大学,42
http://www.kibutu.com/kibutu.php?university=toukyou_noukou,東京農工大学,23
http://www.kibutu.com/kibutu.php?university=hitotubasi,一橋大学,9
http://www.kibutu.com/kibutu.php?university=toukyou_toritu,東京都立大学,25
http://www.kibutu.com/kibutu.php?university=toukyou_toritu_kagaku_gijutu,東京都立科学技術大学,4
http://www.kibutu.com/kibutu.php?university=toukyou_toritu_hokennkagaku,東京都立保健科学大学,0
http://www.kibutu.com/kibutu.php?university=aoyama_gakuinn,青山学院大学,5
http://www.kibutu.com/kibutu.php?university=azia,亜細亜大学,4
http://www.kibutu.com/kibutu.php?university=ueno_gakuenn,上野学園大学,0
http://www.kibutu.com/kibutu.php?university=obirinn,桜美林大学,1
http://www.kibutu.com/kibutu.php?university=ootuma_josi,大妻女子大学,0
http://www.kibutu.com/kibutu.php?university=kaetu,嘉悦大学,0
http://www.kibutu.com/kibutu.php?university=gakusyuuinn,学習院大学,11
http://www.kibutu.com/kibutu.php?university=gakusyuuinn_josi,学習院女子大学,1
